X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
8.0,10.0,train,5.583659872933895E-5,10.207585178382844,0.1602347835829484
28.5,-14.33333,train,1.5473069017675858E-5,2.0033179024793246,0.04724083802369394
105.0,35.0,train,7.469012000971868E-5,14.027665089179793,0.20832051369346527
85.5,41.5,train,7.773324508132211E-5,14.52130829775877,0.21581965092468103
53.0,32.0,train,2.3040631677446807E-4,36.74135411330642,0.5135456081473083
36.0,31.0,train,1.0860685481956471E-4,19.858327142213138,0.28799878168014836
68.0,48.0,train,2.469202690094793E-4,38.95108784133063,0.5380324776817793
63.83333,41.66667,train,9.822669307386192E-5,18.007973550528142,0.2645045777345736
25.25,42.66667,train,0.0011218452002495966,81.59556474106773,0.9700627150220212
15.5,45.16667,train,8.177063306604625E-4,71.94544299058806,0.9224966918975623
15.0,49.75,train,9.625492474995758E-5,17.64109222367556,0.2599548768270723
10.5,51.5,train,2.7384601592402843E-4,41.949457616176765,0.5753427369557433
20.0,47.0,train,5.630923652758326E-4,61.28360814305651,0.8281462385258643
12.83333,42.83333,train,3.949618576789256E-4,51.73382666147962,0.7092441238077072
25.0,46.0,train,9.036178559060302E-4,74.79777909990521,0.9407582683391984
45.34,48.76,train,1.012833299526595E-4,18.549784751438683,0.27150230106828
-4.0,40.0,train,6.541809300192533E-4,65.24495342985104,0.8707487826569502
32.0,49.0,train,8.833409432490878E-5,16.243426976504562,0.24139279904438837
-113.64258,60.10867,train,1.1274341296532594E-4,20.492698112220044,0.29715088193821637
-97.00049,55.00019,train,9.170032437291718E-5,16.889406964084746,0.24933761410726918
-106.00099,54.0001,train,1.6942870389769182E-4,28.812866465974825,0.4113363503462458
-102.0,23.0,train,5.808206475416975E-5,10.644668087239747,0.16611167214442613
-98.5,39.76,train,9.441136512843999E-4,76.16347577407704,0.9478057287642998
-86.75026,32.75041,train,0.0011077733493551852,81.0381459004376,0.9687157302772167
-92.50044,34.75037,train,0.001649590465560641,91.31335974911217,0.994253770664194
-119.75126,37.25022,train,2.524840454889091E-4,39.485002491194116,0.5460016860461101
-105.50083,39.00027,train,6.471703879825378E-4,65.03245907701768,0.8678835275897965
-75.49992,39.00039,train,0.0016482746155467637,91.14896974914461,0.9942300738213625
-114.25118,44.5002,train,0.0011760738875309397,82.24967320918752,0.9747329640421296
-89.25037,40.00032,train,9.26246196227016E-4,75.51194023673536,0.9448059875195843
-86.25027,40.00032,train,9.962869100002484E-4,78.28643003254983,0.9556639920174534
-93.50049,42.00027,train,3.531419891939256E-4,48.561811458502376,0.6686157387318192
-84.87762,38.20042,train,0.0018461343820407043,97.03804434403834,0.9968924370361589
-85.50033,44.25029,train,6.795362155700444E-4,66.13067739657649,0.8806025941157744
-89.75036,32.75041,train,0.0011784257887396087,82.72183725026419,0.9749181398554979
-92.50046,38.25031,train,0.0013691417294581043,85.72083607240295,0.9861862119987952
-109.75102,47.00025,train,8.434560332146919E-4,72.77668081774395,0.9284936257529479
-99.75067,41.50028,train,7.55565908399537E-4,69.32790327035968,0.9058707152319924
-97.50328,35.49209,train,0.001018395901179895,79.02236623641936,0.958626121519964
-76.90567,40.27245,train,0.002093969825061764,99.60317707015965,0.9985685100198974
-86.25027,35.75035,train,0.0017158160408916798,93.84050433984892,0.9953287874767425
-99.25061,31.25044,train,6.998333860510364E-4,66.78011198627073,0.88794647808515
-111.75103,39.25024,train,0.0015542589689340968,89.24339622553799,0.992257691473896
-77.44675,37.54812,train,0.0019410898323777514,98.93470935716871,0.9976908975776223
-120.50147,47.50012,train,6.266195858022674E-4,64.20015239487391,0.8591130219957643
-107.5009,43.00024,train,5.335009542531609E-4,59.78382036798164,0.8114820680583068
135.0,-25.0,train,2.073282817469361E-4,34.3046908013876,0.4771360249380332
146.0,-33.0,train,6.611684699565787E-4,65.50370585251223,0.873542800866459
135.0,-30.0,train,3.2810531737856264E-4,46.64024936148416,0.6416240473254156
145.0,-37.0,train,5.117293826734128E-4,58.6286297122729,0.7981983530245181
174.0,-42.0,train,7.258339382390505E-5,13.711452238341641,0.20308696551575822
-64.0,-34.0,train,2.9876292803268303E-4,44.13720048577726,0.6071794112828746
-55.0,-10.0,train,1.44559294221889E-4,25.19326144499785,0.36372184816087627
19.5,48.66667,test,2.6738563489207617E-4,40.988158822266655,0.56667513839128
-94.25055,46.25024,test,2.7236413207977126E-4,41.70630258134411,0.5733700112377533
122.0,-25.0,test,2.502887973412276E-4,39.32734153457562,0.54287390180561
-98.50063,38.50029,test,8.905201987841941E-4,74.25525244588877,0.938281108100469
28.58333,47.25,test,8.763778663795915E-5,16.13992265111369,0.23973894067455181
-100.25069,44.50026,test,2.78884148298574E-4,42.60330952493617,0.5819816685730788
35.0,39.0,test,5.192120994967966E-4,59.14427023839001,0.8028662286465218
-75.4999,43.00035,test,7.985121337890872E-4,71.13804411511454,0.9177015860964016
145.0,-20.0,test,1.0401153438707435E-4,18.99534620158562,0.27769187502553216
-83.00018,40.25034,test,0.0014686028219240417,87.29018463411509,0.9898791708822924
20.0,52.0,test,1.245928539025115E-4,22.336316530029702,0.32272169481939106
100.0,60.0,test,3.074829802143409E-5,5.162378781264097,0.09168812723745656
-100.00068,47.50027,test,1.4719502030550056E-4,25.605189332354524,0.3689453970692246
-90.00041,44.50024,test,3.917750664058672E-4,51.57464463186905,0.706331694503836
-117.469,52.28333,test,0.0012481321660598257,84.0579719888098,0.9798312730734726
-84.49983,49.25014,test,5.287163752207505E-4,59.5670090419932,0.8086398522319518
38.0,35.0,test,1.9648615847003386E-4,33.01977756399424,0.45910192751255574
